model,format,cooling,watts_t1,watts_t45
yolov8n,pytorch,passive,7.61,7.61
yolov8n,onnx,passive,10.5,11.2
yolov8n,openvino,passive,11.2,11.2
yolo11n,pytorch,passive,11.2,11.2
yolo11n,onnx,passive,10.1,10.6
yolo11n,openvino,passive,10.6,10.6
yolo12n,pytorch,passive,7.27,7.39
yolo12n,onnx,passive,10.3,10.7
yolo12n,openvino,passive,9.06,9.89
yolov8n,pytorch,active,6.13,6.75
yolov8n,onnx,active,10.4,11.4
yolov8n,openvino,active,11.4,11.4
yolo11n,pytorch,active,11.4,11.4
yolo11n,onnx,active,10.7,11.4
yolo11n,openvino,active,11.4,11.4
yolo12n,pytorch,active,6.64,7.09
yolo12n,onnx,active,10.4,11.0
yolo12n,openvino,active,11.0,11.0
