model,format,cooling,run_stem,n_frames,duration_min,inference_ms_mean,inference_ms_min,inference_ms_max,fps_mean,temp_start_C,temp_end_C,temp_max_C,temp_rise_C,cpu_freq_min_MHz,throttled,ram_mean_MB,cpu_percent_mean,watts_t1,watts_t45,watts_avg
yolov8n,pytorch,passive,20260624_203103,13858,60.0,257.4,253.6,418.5,3.85,54.3,67.5,70.3,13.2,2400.0,no,798.5,46.4,7.61,7.61,7.61
yolov8n,onnx,passive,20260624_214042,17415,60.0,202.0,160.7,568.5,4.85,63.1,86.7,89.5,23.6,1500.0,yes,844.0,99.6,10.5,11.2,10.85
yolov8n,openvino,passive,20260624_235034,23331,60.0,151.4,119.0,215.8,6.49,72.5,86.2,89.5,13.7,1500.0,yes,965.9,96.6,11.2,11.2,11.2
yolo11n,pytorch,passive,20260625_013343,12746,60.0,279.7,236.0,347.7,3.55,68.1,84.0,87.8,15.9,1500.0,yes,795.5,51.6,11.2,11.2,11.2
yolo11n,onnx,passive,20260625_140435,17944,60.0,195.5,150.8,287.6,4.99,67.0,85.6,90.0,18.6,1500.0,yes,855.4,99.6,10.1,10.6,10.35
yolo11n,openvino,passive,20260625_154059,24259,60.0,145.7,110.5,228.3,6.75,69.2,86.2,89.5,17.0,1500.0,yes,917.1,96.4,10.6,10.6,10.6
yolo12n,pytorch,passive,20260625_222438,10601,60.0,336.9,279.7,404.3,2.95,66.4,84.0,87.8,17.6,1500.0,yes,791.1,55.2,7.27,7.39,7.33
yolo12n,onnx,passive,20260626_004603,13955,60.0,252.7,198.7,347.5,3.89,77.4,86.7,89.5,9.3,1500.0,yes,862.0,99.7,10.3,10.7,10.5
yolo12n,openvino,passive,20260626_133256,17049,60.0,208.5,166.7,262.2,4.75,65.9,86.2,88.9,20.3,1500.0,yes,924.9,97.5,9.06,9.89,9.48
yolov8n,pytorch,active,20260627_132625,13905,60.0,256.5,253.2,411.5,3.86,51.6,57.6,63.1,6.0,2400.0,no,795.5,46.2,6.13,6.75,6.44
yolov8n,onnx,active,20260627_195054,20831,60.0,169.0,157.4,275.0,5.79,57.6,70.8,75.2,13.2,2400.0,no,840.7,99.6,10.4,11.4,10.9
yolov8n,openvino,active,20260627_212754,29307,60.0,120.7,118.7,155.0,8.14,63.1,68.6,70.8,5.5,2400.0,no,964.9,96.5,11.4,11.4,11.4
yolo11n,pytorch,active,20260627_231609,14895,60.0,239.3,234.8,271.8,4.14,58.7,58.7,62.0,0.0,2400.0,no,795.9,52.3,11.4,11.4,11.4
yolo11n,onnx,active,20260628_122436,22095,60.0,158.6,147.4,423.8,6.14,60.9,70.8,73.0,9.9,2400.0,no,855.4,99.6,10.7,11.4,11.05
yolo11n,openvino,active,20260628_134209,31465,60.0,112.2,109.8,182.5,8.74,62.6,70.8,73.0,8.2,2400.0,no,917.5,96.3,11.4,11.4,11.4
yolo12n,pytorch,active,20260628_193215,12770,60.0,279.5,275.6,313.0,3.55,56.5,56.0,60.9,-0.5,2400.0,no,791.6,55.6,6.64,7.09,6.86
yolo12n,onnx,active,20260628_210518,17995,60.0,196.1,187.1,250.5,5.0,65.3,68.6,71.4,3.3,2400.0,no,861.6,99.7,10.4,11.0,10.7
yolo12n,openvino,active,20260628_231301,21026,60.0,169.1,166.7,206.3,5.84,64.2,67.5,68.6,3.3,2400.0,no,928.5,97.5,11.0,11.0,11.0
